date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:17	73881/73881	---MCZ	200	added ('OK')	text/html	etag:W/%225dc6b965-12099%22	https://templates.envytheme.com/aronix/default/index.html	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/index.html	(from )
16:51:18	169/169	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2011:21:20%20GMT	https://templates.envytheme.com/robots.txt		(from )
16:51:18	155764/155764	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96d-26074%22	https://templates.envytheme.com/aronix/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/aronix/default/index.html)
16:51:18	57997/57997	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96d-e28d%22	https://templates.envytheme.com/aronix/default/assets/css/animate.min.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/animate.min.css	(from https://templates.envytheme.com/aronix/default/index.html)
16:51:18	1897/1897	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96d-769%22	https://templates.envytheme.com/aronix/default/assets/css/flaticon.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/flaticon.css	(from https://templates.envytheme.com/aronix/default/index.html)
16:51:19	3274/3274	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96e-cca%22	https://templates.envytheme.com/aronix/default/assets/css/odometer.min.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/aronix/default/index.html)
16:51:19	3176/3176	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96d-c68%22	https://templates.envytheme.com/aronix/default/assets/css/meanmenu.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/meanmenu.css	(from https://templates.envytheme.com/aronix/default/index.html)
16:51:19	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96d-148b%22	https://templates.envytheme.com/aronix/default/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/aronix/default/index.html)
16:51:19	3173/3173	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96d-c65%22	https://templates.envytheme.com/aronix/default/assets/css/nice-select.min.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/nice-select.min.css	(from https://templates.envytheme.com/aronix/default/index.html)
16:51:19	4206/4206	---MCZ	200	added ('OK')	text/css	etag:W/%225dc6b96e-106e%22	https://templates.envytheme.com/aronix/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/aqugen-home/templates.envytheme.com/aronix/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/aronix/default/index.html)
